,ID,Nom,ON VA?,PROCÉS 1,PROCÉS 2,EN QUÈ ES TRANSFORMA 1,EN QUÈ ES TRANSFORMA 2,CONSELL DE PREVENCIÓ
88,R089,Pintura,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Alumini reciclat,-,"Eviteu que aquests residus arribin al medi contaminant aigües i sòls. Opta sempre que puguis per pintures ecològiques, amb base aquosa, ja que són molt menys contaminants quan esdevenen residu."
89,R090,Pinyols,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
90,R091,Pinzell brut,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Electricitat,Eviteu que aquest residus arribin al medi contaminant aigües i sòls.
91,R092,Plats trencats,Deixalleria / Punt Verd ,Empresa especialitzada,-,Monodipòsit,-,Abans de llençar-los pensa si algú els pot aprofitar.
92,R093,Pneumàtic,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Pneumàtic,Metall,El canvi dels pneumàtics en tallers especialitzats garanteix una bona gestió ambiental d’aquests residus
93,R094,Pols d’escombrar,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
94,R095,Porró vidre,Deixalleria / Punt Verd ,Empresa especialitzada,-,Vidre reciclat,-,-
95,R096,Pot de vidre,Vidre (verd),Planta de triatge: Vidre,Planta de reciclatge,Vidre reciclat,-,-
96,R097,Precinte adhesiu,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
97,R098,Precinte ampolles vi i cava,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Safata Alumini,-,-
98,R099,Preservatiu,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
99,R100,Puntes de cigarret,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
100,R101,Radiografia,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plata ,-,-
101,R102,Raspall de dents,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
102,R103,Rentadora,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Plàstic,Ferro,Abans de llençar un electrodomèstic pensa si pots reparar-lo.
103,R104,Restes de menjar,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà."
104,R105,Revista,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,"Reaprofita el paper de les revistes per a embolcalls, per a protegir el paviment, etc."
105,R106,Roba,Contenidor  Roba ,Triatge de roba,-,Roba,-,"Evita llençar la roba directament a les escombraries. Si el material està fet malbé, és millor portar-lo a un Punt Verd o a una deixalleria. Si la roba o els complements es troben en bon estat, dipositem-los a un contenidor específic de roba, o donar-ho a persones que en puguin fer un nou ús."
106,R107,Rodet de fotografies,Deixalleria / Punt Verd ,Empresa especialitzada,-,Carcasses,-,-
107,R108,Runa (obra menor),Deixalleria / Punt Verd ,Empresa especialitzada,-,Monodipòsit,-,Evita abocaments incontrolats
108,R109,Aliment malmès en safata,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,-
109,R110,Safates de porexpan,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Porexpan,-,Compra a granel. Procura comprar aliments que no estiguin sobre-envasats
110,R111,Sobre de paper,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
111,R112,Sorra de gat,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
112,R113,Tapes de pot,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Metalls,-,-
113,R114,Taps de plàstic,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Cubells de plàstic,-,-
114,R115,Taps de suro,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Si tens un jardí, un hort o un pati gran amb plantes, pots fer el teu compost casolà"
115,R116,Taps metàl·lics,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Metalls,-,-
116,R117,Televisió,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Carcasses,-,Abans de llençar un electrodomèstic pensa si pots reparar-lo.
117,R118,Termòmetre de mercuri,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Mercuri reciclat,-,No comprar termòmetres que continguin mercuri (des d’abril de 2009 s’ha prohibit la venda d’instruments de medició que portin mercuri per la seva perillositat vers la salut i el medi).
118,Energia Elèctrica,C4_electricitat,,,,,,
119,Compostatge / Adob: Planteta / Camps conreu,C4_compost,,,,,,
120,R119,Terra plantes,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,"Els tòners són residus especials que requereixen un tractament específic per no malmetre el medi ambient. Per tant, cal que els recollim de manera separada  portant-los a la deixalleria o dipositant-los als contenidors específics dels punts de venda."
121,R120,Test ceràmica,Deixalleria / Punt Verd ,Empresa especialitzada,-,Monodipòsit,-,-
122,R121,Test de plàstic,Deixalleria / Punt Verd ,Planta de reciclatge,-,Plàstic,-,-
123,R122,Tòner,Deixalleria / Punt Verd ,Empresa especialitzada,-,Toners,-,-
124,R123,Tovalló paper brut,Fracció orgànica (marró),Planta de digestió anaeròbia,Planta de compostatge,Compost,Electricitat,-
125,R124,Tub de dentifrici,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Cubells de plàstic,-,-
126,R125,Tub de PVC,Deixalleria / Punt Verd ,Empresa especialitzada,-,PVC,-,-
127,C3,,,,,,,
128,Digestors + Biogas,C3_digestor,,,,,,
129,R126,Ulleres,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,"Abans de llençar les ulleres que ja no utilitzes, pensa si es poden reutilitzar. Existeixen ONG i algunes òptiques encarregades de realitzar campanyes de recollida i gestió."
130,R127,Vernís,Deixalleria / Punt Verd ,Empresa especialitzada,Planta de reciclatge,Metalls,-,"Opta sempre que puguis pels vernissos ecològics, elaborats a partir de substàncies naturals com la trementina o la pell de taronja, molt menys contaminants en esdevenir residu."
131,R128,Vidre pla,Deixalleria / Punt Verd ,Empresa especialitzada,Fabricant,Vidre pla,-,Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos.
132,R129,Vidre de marc de fotos,Deixalleria / Punt Verd ,Empresa especialitzada,Fabricant,Vidre pla,-,Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos.
133,R131,Xarxa de fruita,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Bosses de plàstic,-,Per diferències en la composició d’aquest vidre és millor no barrejar-lo amb el vidre dels envasos.
134,R132,Xiclet,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
135,R133,Xinxeta,Fracció resta (gris),Planta de triatge: Resta,-,Monodipòsit,-,-
136,R134,Xumet,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
137,R135,Caixa de fusta petita (per a la fruita més delicada),Envàs lleuger (groc),Planta de triatge d'envasos,Fabricant,Combustible,Conglomerat,-
138,R136,Capsa de sabates,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
139,R137,Capsa de cereals,Paper i cartró (blau),Planta de triatge de paper i cartró,Planta de reciclatge,Paper reciclat,-,-
140,R138,Flascó de vidre,Vidre (verd),Planta de triatge: Vidre,Planta de reciclatge,Vidre reciclat,-,-
141,R139,Tovalloletes humides,Fracció resta (gris),Planta de triatge: Resta,Incineradora,Electricitat,-,-
142,R140,Cartutxos de cera depilatòria,Envàs lleuger (groc),Planta de triatge d'envasos,Planta de reciclatge,Plàstics,-,-
143,ID,Nom,,,,,,
144,C1/01,Fracció orgànica (marró-taronja),,,,,,
145,C1/02,Envàs lleuger (groc),,,,,,
146,C1/03,Envàs vidre (verd),,,,,,
147,C1/04,Paper i cartró (blau),,,,,,
148,C1/05,Rebuig (gris),,,,,,
149,C1/06,Piles i acumuladors (comerços),,,,,,
150,C1/07,Medicaments (farmàcies),,,,,,
151,C1/08,Deixalleria / Punt Verd (vermell),,,,,,
152,C1/09,Especial,,,,,,
153,C1/10,Roba (blanc),Nom il·lustració,Nom Imatge,,,,
154,C1,,,,,,,
155,Fracció orgànica (marró-taronja),C1_cont_organica,,,,,,
156,Envàs lleuger (groc),C1_cont_envas,,,,,,
157,Envàs vidre (verd),C1_cont_vidre,,,,,,
158,Paper i cartró (blau),C1_cont_paper,,,,,,
159,Rebuig (gris),C1_cont_resta,,,,,,
160,Piles i acumuladors (comerços),C1_cont_piles,,,,,,
161,Medicaments (farmàcies),C1_cont_farmac,,,,,,
162,Deixalleria / Punt Verd (vermell),C1_deixalleria,,,,,,
163,Especial,C1_empresa_fibrociment,,,,,,
164,Roba (blanc),C1_cont_roba,,,,,,
165,C2,,,,,,,
166,Ecoparc,C2_ecoparc,,,,,,
167,Planta Triatge Envasos,C2_planta_triatge_envas,,,,,,
168,Planta Triatge Paper cartró,C2_planta_triatge_paper,,,,,,
169,Planta Triatge Vidre,C2_planta_triatge_vidre,,,,,,
170,Planta Triatge Resta,C2_planta_triatge_resta,,,,,,
171,Empreses especialitzades,C2_emp_especialitzada,,,,,,
172,Fabricant: Fabriqueta,C3_fabricant,,,,,,
173,Planta Reciclatge,C3_planta_reciclatge,,,,,,
174,Incineradora,C3_incineradora,,,,,,
175,RESULTATS C4,,,,,,,
176,Monodipòsit controlat,C4_monodiposit,,,,,,
177,Combustible per a calderes (Caldera),C4_combustible,,,,,,
178,Conglomerats per a mobles (Mobles),C4_conglomerat,,,,,,
179,Altres envasos i ampolles de vidre.,C4_vidre_reciclat,,,,,,
180,Envasos de plàstic,C4_envasos_nous_plastic,,,,,,
181,"Piles, Acer inoxidable, Altaveus per a equips de música, aparell electrònic",C4_piles_reciclades,,,,,,
182,Llingots de plom.,C4_plom,,,,,,
183,"Bosses de plàstic, film, teles asfàltiques.",C4_plastic_bosses,,,,,,
184,"Miralls, finestres",C4_nou_vidre_pla,,,,,,
185,"Paquets de fulls, cartró per a envasos, revistes i diaris, paper d'embalar, caixes de cartró.",C4_paper_reciclat,,,,,,
186,"Envasos d'alumini, peces d'automoció, perfils de finestres, senyals trànsit.",C4_alumini_reciclat,,,,,,
187,"Safates d'alumini, envasos.",C4_safata_alumini_reciclat,,,,,,
188,"Envasos, samarretes esportives, tubs.",C4_plastic_samarretes,,,,,,
189,"Caixes de plàstic, penjadors, tubs.",C4_plastic_caixes,,,,,,
190,"Envasos, cubells, tubs.",C4_plastic_cubell,,,,,,
191,"Envasos, peces automoció, material construcció, eines.",C4_ferric_construccio,,,,,,
192,"Embalatges de porexpan, planxes aïllants.",C4_porexpan_reciclat,,,,,,
193,"Piles, bombetes, termómetres.",C4_mercuri_reciclat,,,,,,
194,"Tancaments, articles per a l' automoció",C4_peces_automocio,,,,,,
195,"Peces d'automòbil, enllumenat públic, carcasses de mòbils, d'ordinadors.",C4_carcasses_reciclat,,,,,,
196,"Peces de policarbonat: CD, pantalles cascos",C4_policarbonat_reciclat,,,,,,
197,Articles de vidre que no son envasos.,C4_vidre_reciclat,,,,,,
198,Articles de metalls que no son envasos.,C4_metall_reciclat,,,,,,
199,Objectes d'alumini.,C4_alumini_reciclat_objectes,,,,,,
200,"Objectes de plàstic per a mobiliari urbà, objectes de plàstic.",C4_plastic_reciclat_urba,,,,,,
201,Objectes metàl·lics.,C4_metall_reciclat_objectes,,,,,,
202,Objectes de plàstic (joguines).  ,C4_plastic_reciclat_objectes,,,,,,
203,"Plata Rajos X, Material fotogràfic",C4_plata_reciclat,,,,,,
204,Medicaments processats,C4_medicament_processat,,,,,,
205,Oli motor,C4_oli_motor,,,,,,
206,"Farines i greixos alimentació animal, biogàs",C4_aliment_animal_biogas,,,,,,
207,"Pneumàtics, rajples parcs infantils, camps de gespa artificial, soles de sabata,jardineres o asfalt per a carreteres.",C4_pneumatic_reciclat,,,,,,
208,Tóners i càpsules per a impressores,C4_toners_tinta,,,,,,
209,"Tubs, materials construcció, soles sabates",C4_pvc_reciclat,,,,,,
210,"La recollida selectiva de la roba que dipositem al contenidor dóna feina a col•lectius desfavorits, aglutinats per empreses d’inserció social.",C4_roba_solidaritat,,,,,,
211,"Elements aïllants, filtres industrials.",C4_filtre_industrial,,,,,,
